biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 82b593 63a277
biome 6 e0ffae 5c694e 496137
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 82b593 63a277
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 53ca37 29bc05
biome 22 ffffff 53ca37 29bc05
biome 23 ffffff 80b497 60a17b
biome 32 ffffff 80b497 60a17b
biome 33 ffffff b2b952 9fa726
biome 34 ffffff 88b977 6aa755
biome 35 ffffff 53ca37 29bc05
biome 36 ffffff 61c64b 3bb61e
biome 37 ffffff 88b977 6aa755
biome 38 ffffff 80b497 60a17b
biome 39 ffffff 79c05a 59ae30
biome 40 ffffff 73c158 50b02f
biome 41 ffffff 80b497 60a17b
biome 42 ffffff 6ac44e 45b421
biome 43 ffffff 47cd33 1abf00
biome 44 24b01c 53ca37 29bc05
biome 45 ffffff bfb755 aea42a
biome 46 ffffff bfb755 aea42a
biome 47 ffffff 80b497 60a17b
biome 48 ffffff 8ab978 6da655
biome 49 ffffff 47cd33 1abf00
biome 50 ffffff 47cd33 1abf00
biome 51 ffffff 47cd33 1abf00
biome 52 ffffff bfb755 aea42a
biome 53 ffffff 8ab978 6da655
biome 54 ffffff 80b497 60a17b
biome 55 ffffff 80b497 60a17b
biome 56 ffffff 7abe62 59ad3b
biome 57 ffffff 80b497 60a17b
biome 58 f08000 bfb755 aea42a
biome 59 ffffff 47cd33 1abf00
biome 160 ffffff 8eb971 71a74d
biome 161 ffffff bfb755 aea42a
blocktype * * normal
block 26 0 ff8e1616
block 26 1 ff8e1616
block 26 2 ff8e1616
block 26 3 ff8e1616
block 26 4 ff8e1616
block 26 5 ff8e1616
block 26 6 ff8e1616
block 26 7 ff8e1616
block 27 * ab9a6846
block 27 0 ab846c48
block 27 1 ab846c48
block 27 2 ab846c48
block 27 3 ab846c48
block 27 4 ab846c48
block 27 5 ab846c48
block 27 6 ab846c48
block 27 7 ab846c48
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 90dca246
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff866532
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * be590cc0
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 0 46cde1e5
block 102 1 46c88041
block 102 2 46a64fc4
block 102 3 465780c9
block 102 4 46bdc228
block 102 5 4637c031
block 102 6 46b87991
block 102 7 46393f40
block 102 8 4692a0a3
block 102 9 46226f90
block 102 10 46692cb5
block 102 11 461f2e8b
block 102 12 46452d18
block 102 13 46324c18
block 102 14 46992e2a
block 102 15 46191919
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * be590cc0
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ff9c9695
block 149 8 ffa59594
block 149 9 ffa59594
block 149 10 ffa59594
block 149 11 ffa59594
block 149 12 ffa59594
block 149 13 ffa59594
block 149 14 ffa59594
block 149 15 ffa59594
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b8d5146
block 157 0 9b685347
block 157 1 9b685347
block 157 2 9b685347
block 157 3 9b685347
block 157 4 9b685347
block 157 5 9b685347
block 157 6 9b685347
block 157 7 9b685347
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 243 0 ffbfd658
block 243 1 3f55a676
block 252 * ff6c6651
block 253 * ffa55f3e
block 253 0 ffab5b30
block 253 1 ff9b5133
block 450 * ffc5c5da
block 450 1 ff1c1c1c
block 450 2 ff979797
block 451 * ff535353
block 452 * ffc5c5da
block 455 0 20405600
block 455 1 413c5200
block 455 2 49425a00
block 455 3 68395700
block 455 4 76315800
block 455 5 88225700
block 455 6 8c135600
block 455 7 ac055800
block 455 8 b4045a08
block 455 9 d1196308
block 456 0 87292929
block 456 1 87292929
block 456 2 87292929
block 456 3 87292929
block 456 4 ff282828
block 457 0 a500c5fe
block 457 1 a500c5fe
block 457 2 a502c5fe
block 457 3 a502c5fe
block 458 * 4f0e001c
block 459 * 4f0e001c
block 490 * ffc5c5da
block 491 0 ffc5c5da
block 491 1 ff7f7f92
block 491 2 ff8e8e9d
block 491 3 ffc5c5da
block 491 4 ff9494a7
block 494 * ffc5c5da
block 495 0 ff92969e
block 495 1 ff9391a3
block 495 2 ff8c9896
block 495 3 ff908e95
block 495 4 ff9491ac
block 495 5 ffa4a2a4
block 495 6 ff9f9fa7
block 495 7 ff988993
block 495 8 ff98999f
block 495 9 ff8b8d98
block 495 10 ff9598aa
block 496 * ffc5c5da
block 497 * ffc5c5da
block 498 0 ffc5c5da
block 498 1 ff9696a5
block 498 2 ff818181
block 498 3 ff8f8852
block 498 4 ffa6a6b7
block 498 5 ff91919f
block 498 6 ff988a97
block 499 0 ff779583
block 499 1 ff58585f
block 499 2 ff79a8d8
block 499 3 ffc5c5da
block 499 4 ffbdc6dd
block 499 5 ffc5c5da
block 499 6 ff777782
block 499 7 ffb5b5c8
block 499 8 ffc5c5da
block 500 * 9c57514a
block 501 * ab8f8f91
block 502 * a7040404
block 503 * 87737372
block 504 * a6848381
block 505 * 98a29f8e
block 506 * a5702a28
block 507 * ff4c4d4c
block 508 * ff4c4d4c
block 509 * 6b3b3c34
block 510 * 9d73747f
block 511 * a34a4656
block 512 * a34a4656
block 513 * 765d4331
block 514 * a72f3035
block 515 * 5d2f3535
block 516 * 5d2f3535
block 517 * 63343c37
block 518 * 63343c37
block 519 * ff6e2424
block 520 * ff1e4112
block 521 * ff9c7f4e
block 522 * ff9c7f4e
block 523 * ff9c7f4e
block 524 * 9a265f0c
block 524 1 a52c452c
block 524 2 9a43582d
block 524 3 c928640c
block 524 5 a52c452c
block 524 6 9a43582d
block 524 7 c928640c
block 524 9 a52c452c
block 524 10 9a43582d
block 524 11 c928640c
block 524 13 a52c452c
block 524 14 9a43582d
block 524 15 c928640c
block 525 * ff7d7d7d
block 526 * ff7d7d7d
block 527 * ffdddddd
block 528 * ff7d7d7d
block 529 * ff665131
block 530 * ff9c7f4e
block 531 * ffdbdbdb
block 532 * ffdbdbdb
block 533 * ff404040
block 534 * ffece9e2
block 535 * ffece9e2
block 536 * ff665131
block 537 * 46daf0f4
block 538 * 46daf0f4
block 539 * ff9c7f4e
block 540 * ff373833
block 541 * ff11223d
block 542 * ff323235
block 543 * 6bffe800
block 544 * d2ffffff
block 551 * fff9ec4e
block 552 * ff965c42
block 650 0 ff4e4975
block 650 1 ff4e4975
block 650 2 ff4e4975
block 900 * ff848381
block 900 0 ac789aff
block 900 4 ff73716e
block 900 5 ff5e676c
block 900 7 ff7a7371
block 900 8 ff62615e
block 900 9 ff6e7578
block 900 10 ac5e5e5e
block 900 11 acd6d6d6
block 900 12 aca88d7a
block 900 13 acff437f
block 900 14 acfbd975
block 900 15 acc1fc75
block 901 * ad9088a6
block 901 3 ff848381
block 901 5 ff868685
block 901 6 ff747270
block 901 7 ff7f878d
block 901 8 ad594f65
block 901 10 ff777977
block 901 11 ff848381
block 901 12 ff848381
block 901 13 fb6a6a6a
block 902 0 ff85898c
block 902 1 ff7b7b7b
block 902 2 ffd3ddf1
block 902 3 14eef3fa
block 902 4 14eef3fa
block 902 5 ff62615e
block 902 6 ffcad5ed
block 902 7 ffc9d4ec
block 902 8 ffc9d4ec
block 902 9 ffc7d4ec
block 903 * ad9088a6
block 903 4 ff848381
block 903 5 ff695f8e
block 903 6 ff717271
block 903 7 ff8da6b2
block 903 8 ff464746
block 903 9 40636261
block 903 10 9b716f6b
block 903 12 ff6e6b69
block 904 * ff82412f
block 975 0 ffc6d5d6
block 975 1 ffc5d43d
block 975 2 ff3bdef5
block 975 3 ffddb89a
block 975 4 ffc5cac5
block 975 5 3b01a3e4
block 975 6 ff12111a
block 975 7 ff7c007c
block 1178 * ff73736e
block 1179 * 56353630
block 1180 * ff333d70
block 1181 * 561c1dc1
block 1182 * ff1a6688
block 1188 0 ffa1acad
block 1188 1 ffb9c7c8
block 1188 2 ffabbdc4
block 1188 3 ffa1acad
block 1200 0 ff242424
block 1200 1 ff232323
block 1200 2 ff212121
block 1200 3 ff1c1c1c
block 1200 4 ff1d1d1d
block 1200 5 ff363636
block 1200 6 ff212121
block 1200 7 ff1c1d1b
block 1200 8 ff505050
block 1200 9 ff677180
block 1200 10 ffbdc0bd
block 1201 * ffebebeb
block 1202 * ffebebeb
block 1203 * ff683326
block 1204 * ff1f1a0d
block 1204 1 ff383838
block 1204 2 ff6b6b6b
block 1205 * ff767775
block 1206 * ff474640
block 1207 * ff514d49
block 1207 1 ff555555
block 1208 * ff434343
block 1208 1 ff7c007c
block 1209 * ff4b4b4b
block 1210 * ff1d1d1d
block 1211 * ff544f48
block 1212 * b7363837
block 1213 * ce3b393d
block 1214 * 15c2c2c2
block 1215 * ff544f48
block 1216 * ff544f48
block 1217 * ff1d1d1d
block 1218 * ff7c007c
block 1219 * ff61675e
block 1220 * ff1d1d1d
block 1221 * ffbdc0bd
block 1222 * ff505050
block 1223 * ff1e1e1e
block 1224 * ff505050
block 1225 * ff6a5d4c
block 1225 0 ff545454
block 1225 1 ff5c5c5c
block 1226 * ff6a5d4c
block 1226 0 ff7c653e
block 1226 1 ff5c5c5c
block 1227 * ff1d1d1d
block 1228 * ff1d1d1d
block 1229 * ff454da9
block 1230 * ff363636
block 1231 * ff23231c
block 1282 0 6c555a35
block 1282 1 9f1f8e8a
block 1282 2 47889605
block 1282 3 9b769089
block 1282 4 3163732a
block 1282 5 62425130
block 1282 6 3c996449
block 1282 7 58579b4f
block 1375 * 21c33538
block 1375 0 198a6953
block 1375 4 198a6953
block 1375 8 198a6953
block 1375 12 198a6953
block 1376 * ff967b57
block 1377 * ff5b6c49
block 1378 * 13c5c5c5
block 1379 * 13b70000
block 1380 0 ffc38c7b
block 1380 1 ff6e695a
block 1380 2 ff87a078
block 1380 3 ffb99163
block 1380 4 ff9b8e4b
block 1380 5 ff4c463d
block 1380 6 ff767e52
block 1380 7 ff7b4d49
block 1380 8 ff645e2d
block 1380 9 ff312d28
block 1380 10 ff603630
block 1380 11 ff9f988f
block 1380 12 ff93934c
block 1380 13 ff544336
block 1380 14 ff40664b
block 1380 15 ff9f722d
block 1381 0 a2f6fbfc
block 1381 1 a2eec066
block 1381 2 a2da93db
block 1381 3 a29fc4f3
block 1381 4 a2e3e855
block 1381 5 a285c440
block 1381 6 a2e8b6d3
block 1381 7 a2969b9c
block 1381 8 a2cbd0d1
block 1381 9 a25295af
block 1381 10 a2af75d6
block 1381 11 a2658ad8
block 1381 12 a29a795f
block 1381 13 a27c9d59
block 1381 14 a2db6f70
block 1381 15 a22f3435
block 1382 * ff9f722d
block 1382 0 ffa97321
block 1382 1 ffa97321
block 1382 2 ffa97321
block 1382 3 ff503b1a
block 1382 4 ff543e1a
block 1382 5 ff563f1b
block 1382 6 ffa97321
block 1382 7 ffa97321
block 1386 * ff4c463d
block 1386 0 ffc38c7b
block 1386 1 ff6e695a
block 1386 2 ff87a078
block 1386 3 ffb99163
block 1386 4 ff9b8e4b
block 1386 6 ff767e52
block 1386 7 ff7b4d49
block 1386 8 ffc38c7b
block 1386 9 ff6e695a
block 1386 10 ff87a078
block 1386 11 ffb99163
block 1386 12 ff9b8e4b
block 1386 14 ff767e52
block 1386 15 ff7b4d49
block 1387 * ff544336
block 1387 0 ff645e2d
block 1387 1 ff312d28
block 1387 2 ff603630
block 1387 3 ff9f988f
block 1387 4 ff93934c
block 1387 6 ff40664b
block 1387 7 ff9f722d
block 1387 8 ff645e2d
block 1387 9 ff312d28
block 1387 10 ff603630
block 1387 11 ff9f988f
block 1387 12 ff93934c
block 1387 14 ff40664b
block 1387 15 ff9f722d
block 1388 * ff646153
block 1388 0 ff9f7163
block 1388 2 ff81906d
block 1388 3 ff9a7b55
block 1388 4 ff614c51
block 1388 5 ff353229
block 1388 6 ff737252
block 1388 7 ff716558
block 1388 8 ff614c51
block 1388 9 ff353229
block 1388 10 ff737252
block 1388 11 ff716558
block 1388 12 ff9f7163
block 1388 14 ff81906d
block 1388 15 ff9a7b55
block 1389 * ff62574b
block 1389 0 ffa09d56
block 1389 1 ff565148
block 1389 2 ff8e965a
block 1389 3 ff763822
block 1389 4 ff5e5a3c
block 1389 6 ffda9a68
block 1389 7 ffb07355
block 1389 8 ff5e5a3c
block 1389 10 ffda9a68
block 1389 11 ffb07355
block 1389 12 ffa09d56
block 1389 13 ff565148
block 1389 14 ff8e965a
block 1389 15 ff763822
block 1390 * ff827b75
block 1390 0 ff686f30
block 1390 1 ff484032
block 1390 2 ff8d5e51
block 1390 3 ffa9a39d
block 1390 4 ff52584f
block 1390 5 ff9f8051
block 1390 6 ff8f7c6d
block 1390 8 ff52584f
block 1390 9 ff9f8051
block 1390 10 ff8f7c6d
block 1390 12 ff686f30
block 1390 13 ff484032
block 1390 14 ff8d5e51
block 1390 15 ffa9a39d
block 1391 * ff90927a
block 1391 0 ff9a9b5b
block 1391 1 ff685952
block 1391 2 ff557a5e
block 1391 3 ffa97831
block 1391 4 ffa19a95
block 1391 6 ff796652
block 1391 7 ff601200
block 1391 8 ffa19a95
block 1391 10 ff796652
block 1391 11 ff601200
block 1391 12 ff9a9b5b
block 1391 13 ff685952
block 1391 14 ff557a5e
block 1391 15 ffa97831
block 1392 * 6b61764a
block 1393 * 9a878787
block 1394 0 ffc38c7b
block 1394 1 ff6e695a
block 1394 2 ff87a078
block 1394 3 ffb99163
block 1394 4 ff9b8e4b
block 1394 5 ff4c463d
block 1394 6 ff767e52
block 1394 7 ff7b4d49
block 1394 8 ff645e2d
block 1394 9 ff312d28
block 1394 10 ff603630
block 1394 11 ff9f988f
block 1394 12 ff93934c
block 1394 13 ff544336
block 1394 14 ff40664b
block 1394 15 ff9f722d
block 1395 * ff926356
block 1396 * ffc38c7b
block 1397 * ff221002
block 1397 1 ff221b17
block 1397 5 ff221b17
block 1397 9 ff221b17
block 1397 13 ff0b0603
block 1398 * ff8e8d8c
block 1398 0 ff72818a
block 1398 1 ff868374
block 1399 * ffb4b499
block 1399 2 ff662109
block 1399 3 ffa88b07
block 1399 4 ff514515
block 1399 5 ff100313
block 1399 6 ffd8fcfc
block 1399 7 ff384716
block 1399 8 ff3e280b
block 1404 * ff81827e
block 1404 1 ff4a1f0b
block 1404 2 ffae672f
block 1404 4 ffada52a
block 1405 * ff48601b
block 1405 1 ffae672f
block 1405 2 ffa57c35
block 1405 3 ff92592c
block 1405 4 ff4a1f0b
block 1405 5 ffa57c35
block 1405 6 ff61646d
block 1405 7 ff81827e
block 1406 * ff797670
block 1406 1 ff41444a
block 1406 2 ff416535
block 1407 * ff364b7e
block 1408 * ff9c7f4e
block 1408 1 ffaa9459
block 1408 2 ff675333
block 1409 * ff81827e
block 1409 1 fe8a4f1f
block 1410 * 839f8d0f
block 1411 * ff886f43
block 1411 0 ff586a72
block 1411 1 ffa1a74c
block 1411 2 ff8c562c
block 1411 3 ffb69b30
block 1411 4 ff616248
block 1411 5 ff8ca687
block 1411 7 ff8a6526
block 1411 8 ff616248
block 1411 9 ff8ca687
block 1411 11 ff8a6526
block 1411 12 ff586a72
block 1411 13 ffa1a74c
block 1411 14 ff8c562c
block 1411 15 ffb69b30
block 1412 * ff8a8781
block 1412 0 ffa1783b
block 1412 1 ff985964
block 1412 2 ff906539
block 1412 3 ff7d811f
block 1412 4 ff735649
block 1412 5 ffb68661
